sku,total,lines_json
FC-119001,12,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":12}]"
FC-119002,12,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":12}]"
FC-119003,12,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":12}]"
FC-119004,11,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":11}]"
FC-119008,3,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":3}]"
FC-11943,3,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-11965,1,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-127024,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-127103,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-128324,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-1291,5,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":4}]"
FC-136300,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-136500,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-139400,1,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-139402,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-14120,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-1501,1,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-151151,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-151199,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":2}]"
FC-15432,1,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-16446,3,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-16527,3,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-16757,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-16782,1,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-16793,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-16803,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-16804,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-180840,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-181520,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-183049,8,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":5},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":3}]"
FC-18332,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-183700,4,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":4}]"
FC-183801,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":2}]"
FC-184120,6,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":5}]"
FC-184140,3,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":2}]"
FC-184401,4,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":2}]"
FC-186600,5,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":3},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":2}]"
FC-187001,1,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-187040,4,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":3},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-187094,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-187100,6,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":4},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":2}]"
FC-187101,7,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":4},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":3}]"
FC-187120,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":2}]"
FC-187164,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-187170,8,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":4},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":4}]"
FC-187171,8,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":5},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":3}]"
FC-188730,7,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":5}]"
FC-189520,3,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-19625,3,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-2012,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-2015,1,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-2024,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-2203,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-22231,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-22239,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-22257,1,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-22543,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-22544,1,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-23899,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-24122,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-24134,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-24145,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-24291,38,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":18},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":20}]"
FC-24292,35,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":18},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":17}]"
FC-25470,1,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-25476,1,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-25582,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-25585,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-2565,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-26076,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-26995,3,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-27025,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-27639,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-27641,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-27665,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-27667,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-27983,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-28670,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-29896,35,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":18},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":17}]"
FC-31663,11,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":6},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":5}]"
FC-3221,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-3223,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-5519,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-581525,4,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":3},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-581526,4,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":3},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-589150,1,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-6043,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-6044,3,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-6045,3,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-6046,3,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-6051,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-6055,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-6689,4,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":2}]"
FC-8050,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-8052,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-8518,3,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-8519,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-8520,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-8521,3,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-8538,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-8539,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-9318,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-9319,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-9374,3,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":2}]"
FC-9980,9,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":4},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":5}]"
FC-9983,3,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
"FOR-1,75G",6,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":5},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FOR-1001R,113,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":65},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":48}]"
FOR-1001R3,56,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":28},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":28}]"
FOR-1003R4,545,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":398},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":147}]"
FOR-1007R3,61,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":48},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":13}]"
FOR-15750R,190,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":99},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":91}]"
"FOR-2,50G",15,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":10},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":5}]"
FOR-4802570000R,70,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":29},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":41}]"
FOR-4802589000R,158,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":55},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":103}]"
FOR-4802589000R3,285,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":235},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":50}]"
FOR-4802589000R4,161,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":99},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":62}]"
ID-300,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
JAC-1662R,4,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":4},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
KN-01244,5,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":3}]"
KN-01245,15,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":7},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":8}]"
KN-01260,22,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":6},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":16}]"
KN-01289,19,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":11},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":8}]"
KN-01290,5,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":4}]"
KN-01350,3,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":2}]"
KN-01477,12,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":11}]"
KN-01479,1,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
KN-01481,3,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":3},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
KN-01532,14,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":5},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":9}]"
KN-1320,10,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":10},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
KN-23620,4,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":3}]"
KN-23627,7,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":5}]"
KN-23654,9,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":5},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":4}]"
KN-23657,4,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":2}]"
KN-300/30,23,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":18},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":5}]"
KN-31000,1,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
KN-31002,3,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":3},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
KN-31007,4,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":2}]"
KN-31073,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
KN-31092,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
